Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;BOGDANOVCI;JAROSLAV MEĐEŠI;;JAROSLAV MEĐEŠI - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;BOGDANOVCI;MIRKO TIRKAJLA;;DOMOVINSKI POKRET - DP
ZAMJENIK OPĆINSKOG NAČELNIKA - BOŠNJAČKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;GUNJA;MIRSAD DEMIROVIĆ;;MIRSAD DEMIROVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - BOŠNJAČKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;GUNJA;EDITA SMAILOVIĆ;;EDITA SMAILOVIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;STARI JANKOVCI;VELJKO MILOJEVIĆ;;VELJKO MILOJEVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;STARI JANKOVCI;SINIŠA ŠUŠA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;TOMPOJEVCI;VITOMIR HOMA;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;TOMPOJEVCI;OLJA HUDAK;;HRVATSKA KONZERVATIVNA STRANKA - HKS
ZAMJENIK OPĆINSKOG NAČELNIKA - RUSINSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;TOMPOJEVCI;SLAVKO ŽDINJAK;;SLAVKO ŽDINJAK - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - MAĐARSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;TORDINCI;ZOLTAN ČEREPEŠ;;ZOLTAN ČEREPEŠ - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;VUKOVAR;SRĐAN KOLAR;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;VUKOVAR;SRĐAN MILAKOVIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK OPĆINSKOG NAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;BALE - VALLE;FABRIZIO FIORETTI;;FABRIZIO FIORETTI - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;BRTONIGLA - VERTENEGLIO;ALESSANDRO DRUŠKOVIĆ;;ALESSANDRO DRUŠKOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;BRTONIGLA - VERTENEGLIO;MAURICIO VERONESE;;ISTARSKI DEMOKRATSKI SABOR - IDS
ZAMJENIK OPĆINSKOG NAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;BRTONIGLA - VERTENEGLIO;KETI VISINTIN;;KETI VISINTIN - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;BUJE - BUIE;CORRADO DUSSICH;;CORRADO DUSSICH - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;ISTARSKA ŽUPANIJA;GROŽNJAN - GRISIGNANA;LORENO FERENAC;;ISTARSKI DEMOKRATSKI SABOR - IDS
ZAMJENIK GRADONAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;NOVIGRAD - CITTANOVA;VIVIJANA FAKIN;;VIVIJANA FAKIN - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;OPRTALJ - PORTOLE;SANDRA ŠORGO;;SANDRA ŠORGO - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;POREČ - PARENZO;UGO MUSIZZA;;ISTARSKI DEMOKRATSKI SABOR - IDS
